PCM1870A

Pin,    Type,           Name
 B4,        power_in,	      	     AGND, 	
 A2,        	input,	      	     AIN1L, 	
 A1,        	input,	      	     AIN1R, 	
 C4,        	input,	      	     AIN2L, 	
 C3,        	input,	      	     AIN2R, 	
 C2,        output,	      	     AOL, 		
 C1,        output,	      	     AOR, 		
 F1,        bidirectional,    	     BCK, 		
 E2,        power_in,	      	     DGND, 	
 F4,        output,	      	     DOUT, 		
 E1,        bidirectional,    	     LRCK, 		
  E4, 	input,	      	    MC/SCL,
  D4,       bidirectional,    	   MD/SDA, 	
 A3,        output, 	      	     MICB, 	
 D2,        input, 	      	     MODE, 		
   D3,       input,	       	     MS/ADR,	
     B2,    input,	      	   PGINL,  	
 B1,        	input,	      	     PGINR, 	
 F2,        input, 	      	     SCKI, 		
 D1,        input, 	      	     TEST, 		
 B3,        power_in, 	      	     VCC,  	
 A4,        	power_in,     	     VCOM,  	
 F3,        	power_in,     	     VDD,   	
 E3,        power_in, 	      	     VIO, 	
